what,kind,bundleId,bundleVersion,description,time
error,log,,,"Fatal Error in platform:/resource/CalculationProcess/CalculationProcess.bpel [64:12] The prefix ""log"" for element ""log:e"" is not bound.",1358601465689
error,log,,,"Fatal Error in platform:/resource/CalculationProcess/CalculationProcess.bpel [64:12] The prefix ""log"" for element ""log:e"" is not bound.",1358601465697
error,log,,,"Fatal Error in platform:/resource/CalculationProcess/CalculationProcess.bpel [64:12] The prefix ""log"" for element ""log:e"" is not bound.",1358601465702
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1358601474400
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1358601476706
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1358601477233
error,log,,,"Fatal Error in platform:/resource/CalculationProcess/CalculationProcess.bpel [64:12] The prefix ""log"" for element ""log:e"" is not bound.",1358601477396
error,log,,,"Fatal Error in platform:/resource/CalculationProcess/CalculationProcess.bpel [64:12] The prefix ""log"" for element ""log:e"" is not bound.",1358601477407
error,log,,,"Fatal Error in platform:/resource/CalculationProcess/CalculationProcess.bpel [64:12] The prefix ""log"" for element ""log:e"" is not bound.",1358601477418
error,log,,,"Fatal Error in platform:/resource/CalculationProcess/CalculationProcess.bpel [64:12] The prefix ""log"" for element ""log:e"" is not bound.",1358601477424
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1358601484378
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1358601486152
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1358601488107
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1358601488566
error,log,,,"Unhandled event loop exception",1358601488880
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1358601495445
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.stop",1358601497954
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601502612
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601505302
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601508740
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601520939
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1358601524909
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358601529372
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1358601547223
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601547354
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601547614
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358601547618
error,log,,,"Unhandled event loop exception",1358601547823
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601577650
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601591493
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601599384
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601600159
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1358601601133
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601603826
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601606501
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358601606709
error,log,,,"Unhandled event loop exception",1358601606859
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601610291
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601680597
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1358601696982
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1358601710598
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1358601712772
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1358601713617
error,log,,,"Unhandled event loop exception",1358601713925
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1358601714849
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.stop",1358601717588
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601719131
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601865415
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601867757
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601869628
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1358601872956
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601874451
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601877534
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358601877540
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1358601897261
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601897443
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601897645
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358601897651
error,log,,,"Unhandled event loop exception",1358601897848
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1358601911607
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601914262
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601915882
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358601916121
error,log,,,"Unhandled event loop exception",1358601916259
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601918981
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601929951
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1358601931221
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.stop",1358601934525
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601938589
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601944052
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601946714
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601949068
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1358601952679
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601953395
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358601957182
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358601957187
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1358601977505
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358601978225
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358602032396
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358602033341
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358602036749
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358602121775
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358602133365
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358616982477
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358617016649
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358637789222
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1358637790405
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.stop",1358637793694
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358637800120
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358637802629
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358637802638
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358637806872
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358637808579
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358637809621
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358637809780
stopped,bundle,com.eviware.soapui.eclipse,4.0.1.wso2v1,"com.eviware.soapui.eclipse",1358637810146
