what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.wsdl.ui,1.2.302.v201005180400,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1358082905751
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1358082907716
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358082909353
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358082982573
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1358082989338
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358082991687
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083055870
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1358083064822
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083084971
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083150354
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1358083157510
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083161142
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083167004
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083174150
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083261395
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1358083267516
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1358083272357
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1358083274107
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083278857
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083289364
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1358083289405
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1358083291416
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083293319
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083296810
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1358083301274
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1358083307104
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1358083319237
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1358083323839
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1358083326762
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083328008
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083328199
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1358083340532
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1358083350041
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1358083369035
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1358083375039
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1358083375963
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083377580
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083427105
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1358083468757
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083469703
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1358083469814
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1358083469825
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1358083469828
started,bundle,org.eclipse.pde.core,3.6.0.v20100601,"org.eclipse.pde.core",1358083469913
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083469932
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083469955
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083470236
closed,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1358083470333
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083472158
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358083473050
