what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1358586536945
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1358586540074
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1358586543571
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1358586551858
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1358586556381
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1358586561234
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1358586561878
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1358586561945
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1358586561992
started,bundle,org.eclipse.jst.common.frameworks,1.1.403.v201012160000,"org.eclipse.jst.common.frameworks",1358586562307
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1358586562324
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1358586608499
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1358586608504
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608534
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608536
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608538
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608540
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608542
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608544
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608546
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608548
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608550
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608552
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608554
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608557
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608559
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608561
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608564
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608566
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608569
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608571
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608573
error,log,,,"An extension already exists with id ""org.eclipse.ui.navigator.resourceContent"".",1358586608575
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1358586608711
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1358586608717
started,bundle,org.eclipse.jst.jee.ui,1.0.304.v201101272100,"org.eclipse.jst.jee.ui",1358586608748
started,bundle,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.ui",1358586608756
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.403.v201012020600,"org.eclipse.jst.j2ee.navigator.ui",1358586608758
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1358586608941
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1358586609013
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1358586609014
opened,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1358586609079
opened,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1358586609142
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.J2EEPerspective",1358586609177
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1358586610216
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1358586611473
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358586612516
error,log,,,"  Error firing server event: org.wso2.developerstudio.eclipse.carbonserver40.monitor.CarbonServerListener@36d83365",1358586614431
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358586614486
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358586614568
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1358586616936
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1358586617232
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1358586617700
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358586622347
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358586633931
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358586633941
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1358586660959
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358586663245
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1358586685875
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1358586689535
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1358586689571
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1358586689596
activated,editor,org.eclipse.wst.wsdl.ui,1.2.304.v201012071645,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1358586693099
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358586696672
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358586700951
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1358586701014
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358586702354
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358586705055
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358586705223
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358586705352
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358586705359
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358586722634
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358586932409
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358586933736
