what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1358839003457
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1358839003457
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1358839003472
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1358839003472
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1358839003472
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1358839003472
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1358839003472
started,bundle,org.eclipse.wst.wsdl,1.2.104.v201012082239,"org.eclipse.wst.wsdl",1358839003472
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1358839003472
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1358839003535
started,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1358839003581
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1358839003581
started,bundle,org.tigris.subversion.clientadapter,1.8.3,"org.tigris.subversion.clientadapter",1358839003581
started,bundle,org.tigris.subversion.subclipse.core,1.8.16,"org.tigris.subversion.subclipse.core",1358839003597
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1358839003597
started,bundle,org.tigris.subversion.subclipse.ui,1.8.18,"org.tigris.subversion.subclipse.ui",1358839003597
os,sysinfo,,,"win32",1358839003597
arch,sysinfo,,,"x86_64",1358839003597
ws,sysinfo,,,"win32",1358839003597
locale,sysinfo,,,"en_US",1358839003597
processors,sysinfo,,,"8",1358839003597
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1358839003597
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1358839003597
java.specification.name,sysinfo,,,"Java Platform API Specification",1358839003597
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1358839003597
java.specification.version,sysinfo,,,"1.6",1358839003597
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1358839003597
java.version,sysinfo,,,"1.6.0_25",1358839003597
java.vm.info,sysinfo,,,"mixed mode",1358839003597
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1358839003597
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1358839003597
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1358839003597
java.vm.specification.version,sysinfo,,,"1.0",1358839003597
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1358839003597
java.vm.version,sysinfo,,,"20.0-b11",1358839003597
started,bundle,org.eclipse.wst.wsdl.ui,1.2.304.v201012071645,"org.eclipse.wst.wsdl.ui",1358839062565
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358839523858
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358839523874
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358840056536
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358841479077
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358841483136
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358841497582
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1358841497738
stopped,bundle,com.eviware.soapui.eclipse,4.0.1.wso2v1,"com.eviware.soapui.eclipse",1358841498112
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1358841498112
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1358841498112
stopped,bundle,org.eclipse.bpel.apache.ode.runtime,0.5.0.wso2v2,"org.eclipse.bpel.apache.ode.runtime",1358841498112
stopped,bundle,org.wso2.developerstudio.eclipse.bpel.connector,2.1.0,"org.wso2.developerstudio.eclipse.bpel.connector",1358841498112
stopped,bundle,org.eclipse.bpel.runtimes,0.5.0.wso2v2,"org.eclipse.bpel.runtimes",1358841498112
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1358841498143
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1358841498143
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1358841498143
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1358841498159
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver.remote,2.1.0,"org.wso2.developerstudio.eclipse.carbonserver.remote",1358841498159
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver30,2.1.0,"org.wso2.developerstudio.eclipse.carbonserver30",1358841498159
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver31,2.1.0,"org.wso2.developerstudio.eclipse.carbonserver31",1358841498159
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver32,2.1.0,"org.wso2.developerstudio.eclipse.carbonserver32",1358841498159
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver40,2.1.0,"org.wso2.developerstudio.eclipse.carbonserver40",1358841498159
stopped,bundle,org.wso2.developerstudio.eclipse.distribution.project,2.1.0,"org.wso2.developerstudio.eclipse.distribution.project",1358841498159
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver.base,2.1.0,"org.wso2.developerstudio.eclipse.carbonserver.base",1358841498159
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1358841498159
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1358841498159
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1359993326921
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1359993326923
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1359993326925
started,bundle,com.eviware.soapui.eclipse,4.0.1.wso2v1,"com.eviware.soapui.eclipse",1359993326931
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1359993326933
started,bundle,lpg.runtime.java,2.0.17.v201004271640,"lpg.runtime.java",1359993326934
started,bundle,org.apache.batik.bridge,1.6.0.v200912221622,"org.apache.batik.bridge",1359993326936
started,bundle,org.apache.batik.css,1.6.0.v200912221622,"org.apache.batik.css",1359993326937
started,bundle,org.apache.batik.dom,1.6.0.v200912221622,"org.apache.batik.dom",1359993326937
started,bundle,org.apache.batik.dom.svg,1.6.0.v200805290154,"org.apache.batik.dom.svg",1359993326938
started,bundle,org.apache.batik.ext.awt,1.6.0.v200805290154,"org.apache.batik.ext.awt",1359993326939
started,bundle,org.apache.batik.parser,1.6.0.v200805290154,"org.apache.batik.parser",1359993326940
started,bundle,org.apache.batik.pdf,1.6.0.v200806031500_wso2v1,"org.apache.batik.pdf",1359993326941
started,bundle,org.apache.batik.svggen,1.6.0.v200805290154,"org.apache.batik.svggen",1359993326942
started,bundle,org.apache.batik.transcoder,1.6.0.v200805290154,"org.apache.batik.transcoder",1359993326943
started,bundle,org.apache.batik.util,1.6.0.v200805290154,"org.apache.batik.util",1359993326944
started,bundle,org.apache.batik.util.gui,1.6.0.v200805290154,"org.apache.batik.util.gui",1359993326945
started,bundle,org.apache.batik.xml,1.6.0.v200805290154,"org.apache.batik.xml",1359993326946
started,bundle,org.eclipse.bpel.apache.ode.deploy.model,0.5.0.wso2v2,"org.eclipse.bpel.apache.ode.deploy.model",1359993326946
started,bundle,org.eclipse.bpel.apache.ode.deploy.ui,0.5.0.wso2v2,"org.eclipse.bpel.apache.ode.deploy.ui",1359993326947
started,bundle,org.eclipse.bpel.apache.ode.runtime,0.5.0.wso2v2,"org.eclipse.bpel.apache.ode.runtime",1359993326948
started,bundle,org.eclipse.bpel.common.model,0.5.0.wso2v2,"org.eclipse.bpel.common.model",1359993326949
started,bundle,org.eclipse.bpel.common.ui,0.5.0.wso2v2,"org.eclipse.bpel.common.ui",1359993326949
started,bundle,org.eclipse.bpel.model,0.5.0.wso2v2,"org.eclipse.bpel.model",1359993326950
started,bundle,org.eclipse.bpel.runtimes,0.5.0.wso2v2,"org.eclipse.bpel.runtimes",1359993326951
started,bundle,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui",1359993326952
started,bundle,org.eclipse.bpel.validator,0.5.0.wso2v2,"org.eclipse.bpel.validator",1359993326952
started,bundle,org.eclipse.bpel.wsil.model,0.5.0.wso2v2,"org.eclipse.bpel.wsil.model",1359993326953
started,bundle,org.eclipse.bpel.xpath10,0.5.0.wso2v2,"org.eclipse.bpel.xpath10",1359993326954
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1359993326954
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1359993326955
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1359993326956
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1359993326956
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1359993326957
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1359993326958
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1359993326959
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1359993326959
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1359993326960
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1359993326961
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1359993326961
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1359993326962
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1359993326963
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1359993326964
